,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,,,,,,,,,,,,,,,,,,,,,,
1,,YTD Pipeline,,,,,,,,,,,,,,,,,,,,,
2,,As of 2025-11-18 14:00:02 Hora estándar Central/CST • Generated by Daniel Ruiz,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,
5,,Filtered By,,,,,,,,,,,,,,,,,,,,,
6,,Date Field: Close Date equals Current FY (1/01/2025 to 31/12/2025),,,,,,,,,,,,,,,,,,,,,
7,,Show: All opportunities,,,,,,,,,,,,,,,,,,,,,
8,,Opportunity Status: Open,,,,,,,,,,,,,,,,,,,,,
9,,Probability: > 20%,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,
11,,Probability (%)  ↑,BU  ↑,,Account Name,Opportunity Name,Amount,Material Cost,Materials %,Gross Margin,Gross M. %,Created Date,Age,Close Date,Lead Time,Invoice Date,PIA %,Calculated PIA,Payment Terms,Advance Cash-in Date,Region,Stage,Weighted Forecast
12,,0.25,ICT,,"Span IO, Inc. (CA)",Support Hours,3240,0,0,2111.4,0.6517000000000001,25/09/2025,54,31/10/2025,1,21/11/2025,0,0,NET 30,15/12/2025,US West Coast,Proposal Ready,810
13,,,,,"iRhythm Technologies, Inc. (CA)",ICT programming and Current Test,47586.32,15151.01,0.32,17785.31,0.3737,30/09/2025,49,31/12/2025,5,18/02/2026,0,0,NET 30,14/02/2026,US West Coast,Proposal Ready,11896.58
14,,,,,Aumovio Tijera,Debug & Delivery for MQB A0 STD RED,11533.31,123.08,0.01,7448.53,0.6457999999999999,13/11/2025,5,31/12/2025,3,4/02/2026,0,0,NET 45,1/03/2026,MX South,Proposal Ready,2883.33
15,,,Subtotal,Sum,,,62359.63,15274.09,0.33,27345.24,,,,,,,0,0,,,,,15589.91
16,,,,Avg,,,,,,,0.5570666666666666,,,,3,,,,,,,,
17,,,,Count,3,,,,,,,,,,,,,,,,,,
18,,,IAT,,Nachi,PCB transfer,109639.27,,0,21725.58,0.19820000000000002,10/02/2025,281,30/04/2025,18,17/09/2025,,0,NET 30,14/06/2025,,Proposal Ready,27409.82
19,,,,,Continental San Luis,Freeze design risk.,872.75,,0,308.91,0.354,25/08/2025,85,30/09/2025,,,0,0,NET 30,14/11/2025,,Proposal Ready,218.19
20,,,Subtotal,Sum,,,110512.02,0,0,22034.49,,,,,,,0,0,,,,,27628.01
21,,,,Avg,,,,,,,0.2761,,,,9,,,,,,,,
22,,,,Count,2,,,,,,,,,,,,,,,,,,
23,,,REP,,JG PROINDUSA S DE RL DE CV,Support VI,7145,,0,4180.74,0.5851,24/09/2025,55,31/10/2025,1,21/11/2025,1,7145,PIA,15/11/2025,MX South,Proposal Ready,1786.25
24,,,Subtotal,Sum,,,7145,0,0,4180.74,,,,,,,1,7145,,,,,1786.25
25,,,,Avg,,,,,,,0.5851,,,,1,,,,,,,,
26,,,,Count,1,,,,,,,,,,,,,,,,,,
